city,location,title,bhk,area_sqft,price_lakhs,price_per_sqft
Hyderabad,Hyderabad,"2 BHK Flat  for Sale in Suchitra Road, Hyderabad",2,1248,62.4,0.05
Hyderabad,Hyderabad,"3 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",3,1839,1.5,0.0
Hyderabad,Makuta Nirvana,"3 BHK Flat  for Sale in Patancheruvu, Hyderabad",3,2114,1.15,0.0
Hyderabad,Hallmark Altus,"3 BHK Flat  for Sale in Madeenaguda, Hyderabad",3,2975,2.08,0.0
Hyderabad,Fortune Water Front,"3 BHK Flat  for Sale in Kukatpally, NH 9, Hyderabad",3,2880,2.95,0.0
Hyderabad,Sparkle Inara,"3 BHK Villa for Sale in Aushapur, NH 2 2 Hyderabad",3,4200,3.06,0.0
Hyderabad,Saanvi Altus,"3 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",3,2765,2.21,0.0
Hyderabad,Candeur Twins,"3 BHK Flat  for Sale in Miyapur, NH 9, Hyderabad",3,2032,1.6,0.0
Hyderabad,Prestige Golden Grove,"2 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",2,1280,1.28,0.0
Hyderabad,Brigade Gateway,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,3917,6.26,0.0
Hyderabad,Omsree Skypark,"3 BHK Flat  for Sale in Kompally, Hyderabad",3,2235,1.67,0.0
Hyderabad,Aparna Newlands,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1475,1.42,0.0
Hyderabad,Nikhila Royal Pavilion,"3 BHK Flat  for Sale in Mokila, Hyderabad",3,2150,1.35,0.0
Hyderabad,Prestige Golden Grove,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1271,2.0,0.0
Hyderabad,Brigade Gateway,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,3078,4.92,0.0
Hyderabad,Prestige Spring Heights,"3 BHK Flat  for Sale in Budwel, Hyderabad",3,1722,1.77,0.0
Hyderabad,Team4 Arka,"3 BHK Flat  for Sale in Manikonda Jagir, Hyderabad",3,2120,1.8,0.0
Hyderabad,Supadha Gamya,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,2810,2.21,0.0
Hyderabad,Risinia Skyon,"3 BHK Flat  for Sale in Bachupally, Hyderabad",3,1928,1.68,0.0
Hyderabad,Candeur Eternia,"2 BHK Flat  for Sale in Bachupally, Hyderabad",2,1462,95.0,0.06
Hyderabad,The Marquise,"3 BHK Flat  for Sale in Kokapet, Outer Ring Road, Hyderabad",3,5235,5.99,0.0
Hyderabad,Urbanrise On Cloud 33,"3 BHK Flat  for Sale in Bachupally, Hyderabad",3,1914,1.55,0.0
Hyderabad,Divine Space,"3 BHK Flat  for Sale in Tellapur, Outer Ring Road, Hyderabad",3,1670,1.25,0.0
Hyderabad,Namishree Vrindavan,"3 BHK Flat  for Sale in Kondapur, Hyderabad",3,2190,1.64,0.0
Hyderabad,Dhanwin Towers,"3 BHK Flat  for Sale in Bowrampet, Outer Ring Road, Hyderabad",3,2355,1.1,0.0
Hyderabad,Siri Villas,"3 BHK Villa for Sale in Kollur, Outer Ring Road Hyderabad",3,3060,2.4,0.0
Hyderabad,Rajapushpa Provincia,"3 BHK Flat  for Sale in Narsingi, Outer Ring Road, Hyderabad",3,2660,2.93,0.0
Hyderabad,Candeur Crescent,"2 BHK Flat  for Sale in Serilingampalle M, Hyderabad",2,1456,1.27,0.0
